date,open,high,low,close,volume
2026-02-18,1010.0,1016.0,993.5,996.08,1926753.0
2026-02-19,992.31,1007.86,984.11,987.82,1749967.0
2026-02-20,983.13,987.37,977.81,985.27,1662183.0
2026-02-23,981.8,991.305,978.06,986.02,1489290.357106
2026-02-24,986.38,998.88,985.04,998.43,1671134.831477
2026-02-25,997.675,1002.5,991.44,994.76,1554568.171376
2026-02-26,996.915,1005.5199,983.53,986.74,1804376.656068
2026-02-27,990.53,1014.19,989.58,1010.79,3935004.783497
2026-03-02,1010.91,1020.82,1002.49,1002.77,1986902.364544
2026-03-03,1002.54,1015.75,1000.63,1007.77,1947502.131736
2026-03-04,1005.0,1014.0,997.0,1006.74,1806638.564096
2026-03-05,996.5,999.25,978.81,982.57,2774284.420265
2026-03-06,967.005,1002.5,960.46,998.1,2708851.3076
2026-03-09,999.63,1007.41,987.99,1005.3,2348212.562633
2026-03-10,1000.5,1010.1,996.0,997.36,1613381.068327
2026-03-11,996.32,997.39,987.89,992.23,1262006.653573
2026-03-12,988.61,1006.21,984.0,1003.32,1669248.894009
2026-03-13,1005.9,1012.83,1002.0,1008.43,1469672.38561
2026-03-16,1010.5,1012.65,995.4301,1001.74,1243752.911192
2026-03-17,1006.49,1008.095,994.75,996.16,1210414.037281
2026-03-18,990.37,993.9819,978.14,979.92,1434421.166569
2026-03-19,985.84,988.79,970.41,974.78,1340173.310416
2026-03-20,975.08,980.76,970.54,972.33,2621555.090922
2026-03-23,985.665,986.64,964.53,965.73,1779094.379915
2026-03-24,962.06,981.28,961.0,973.82,1259325.888772
2026-03-25,978.0,980.81,968.0504,974.86,1067386.569739
2026-03-26,975.69,987.19,972.7201,979.65,1498250.839058
2026-03-27,982.015,987.11,978.11,983.86,1540925.408586
2026-03-30,987.65,1005.54,985.01,996.58,2129129.973914
2026-03-31,997.0,1008.6,985.85,996.43,2447853.132543
2026-04-01,995.025,1003.13,990.59,996.56,1769848.846115
2026-04-02,1008.0,1016.0,999.21,1014.96,1828612.179138
2026-04-06,1014.96,1020.69,1004.01,1018.55,1448642.829929
2026-04-07,1020.26,1020.86,1004.85,1013.21,1428543.184823
2026-04-08,1004.44,1030.46,1000.0,1030.27,2265711.150241
2026-04-09,1029.49,1035.82,1025.0569,1032.03,1433627.840075
2026-04-10,1026.51,1028.9999,995.5,998.47,2333039.928631
2026-04-13,998.47,1000.05,979.3601,980.85,2255514.45023
2026-04-14,973.68,977.61,966.0,974.8,2136508.516829
2026-04-15,970.31,985.38,968.3,984.75,2346203.914247
2026-04-16,985.0,995.748,981.61,987.21,1484286.91925
2026-04-17,985.0,1000.67,977.0,999.89,2346525.33147
2026-04-20,1003.85,1011.3,994.14,997.84,1475447.183075
2026-04-21,994.37,1006.5,986.7,1005.81,1367093.318167
2026-04-22,1004.98,1008.11,998.29,1003.7,1215151.657597
2026-04-23,1007.575,1016.6,1007.03,1014.38,1570728.639252
2026-04-24,1012.0,1013.45,1002.5,1011.15,1695617.731862
2026-04-27,1008.625,1014.41,996.63,998.01,1620358.949928
2026-04-28,1010.475,1012.65,986.0,994.0,1775955.618604
2026-04-29,988.37,998.97,985.12,998.67,1516865.640004
2026-04-30,996.45,1017.69,996.32,1014.53,2049273.85091
2026-05-01,1015.375,1031.265,1006.32,1011.7,1509728.120161
2026-05-04,1007.02,1024.72,1002.21,1012.79,1479687.412661
2026-05-05,1010.51,1020.78,1009.07,1016.42,1456309.18865
2026-05-06,1011.31,1012.23,992.42,995.75,2619130.756138
2026-05-07,993.5,1012.66,990.66,1012.06,2013993.436155
2026-05-08,1011.74,1016.0,1005.11,1008.79,1805188.700073
2026-05-11,1005.82,1007.0,985.15,999.47,2053529.142003
2026-05-12,1002.535,1026.0,1001.14,1021.88,2143229.839231
2026-05-13,1017.94,1042.52,1017.94,1033.08,1654600.222718
2026-05-14,1034.95,1041.785,1026.1,1041.25,1606609.77677
2026-05-15,1049.36,1057.5,1039.22,1048.95,1966963.927257
2026-05-18,1050.0,1079.8299,1045.0,1076.47,2295156.849715
2026-05-19,1077.0,1096.5,1072.1,1094.32,2853290.324189
2026-05-20,1089.37,1089.74,1072.0,1074.01,2223436.245353
2026-05-21,1063.405,1064.73,1039.01,1050.45,2149696.590849
2026-05-22,1039.99,1045.64,1025.19,1028.24,2051784.053774
2026-05-26,1026.13,1027.5,996.16,1002.93,2707389.305634
2026-05-27,1003.86,1013.51,999.6863,1003.69,2392069.16816
2026-05-28,1011.61,1012.0,994.27,995.2,2853278.410859
2026-05-29,986.57,998.82,945.45,956.32,7034527.499596
2026-06-01,955.0,959.21,936.51,946.11,2816325.365482
2026-06-02,942.29,955.3899,939.45,954.27,2218184.999402
2026-06-03,952.875,969.18,951.98,961.83,2174108.351035
2026-06-04,986.96,990.01,968.21,972.35,2345228.420614
2026-06-05,977.5,997.41,971.6,971.87,3092017.99667
2026-06-08,963.455,978.98,961.002,974.75,2086132.35983
2026-06-09,974.21,981.9699,964.94,968.59,1998630.075668
2026-06-10,977.444,985.255,964.31,983.37,1715603.160883
2026-06-11,986.91,989.12,973.995,975.69,1903390.253504
